Entry Price,Exit Price,Trade Duration,Trade Type,Profit/Loss
39139.0,39175.3,0 days 00:03:00,Short,Profit
39152.3,39183.4,0 days 00:02:00,Short,Profit
39139.9,39194.9,0 days 00:09:00,Short,Profit
39172.8,39106.0,0 days 00:05:00,Short,Loss
39193.7,39257.7,0 days 00:01:00,Long,Profit
39245.8,39199.6,0 days 00:06:00,Short,Loss
39249.8,39283.4,0 days 00:01:00,Long,Profit
39246.9,39218.8,0 days 00:01:00,Short,Loss
39264.9,39233.8,0 days 00:11:00,Long,Loss
39264.5,39236.4,0 days 00:02:00,Long,Loss
39261.7,39238.6,0 days 00:10:00,Long,Loss
39224.6,39257.9,0 days 00:03:00,Long,Profit
39236.4,39281.4,0 days 00:04:00,Short,Profit
39226.6,39175.2,0 days 00:01:00,Short,Loss
39183.3,39218.3,0 days 00:02:00,Long,Profit
39174.3,39216.9,0 days 00:03:00,Short,Profit
39157.6,39109.5,0 days 00:01:00,Short,Loss
38881.9,38842.8,0 days 00:05:00,Long,Loss
38787.8,38819.6,0 days 00:03:00,Short,Profit
38807.4,38872.4,0 days 00:02:00,Short,Profit
38802.9,38837.4,0 days 00:01:00,Short,Profit
38802.6,38843.5,0 days 00:01:00,Short,Profit
38790.7,38767.4,0 days 00:02:00,Short,Loss
38808.4,38787.1,0 days 00:01:00,Long,Loss
38748.0,38720.9,0 days 00:13:00,Short,Loss
38809.4,38767.4,0 days 00:03:00,Long,Loss
38760.3,38674.5,0 days 00:01:00,Short,Loss
38764.0,38655.4,0 days 00:02:00,Long,Loss
38163.9,38139.4,0 days 00:01:00,Long,Loss
38068.3,37937.6,0 days 00:05:00,Short,Loss
38141.1,38121.1,0 days 00:01:00,Long,Loss
38020.9,37982.5,0 days 00:02:00,Short,Loss
37755.3,37710.1,0 days 00:02:00,Long,Loss
37774.1,37742.4,0 days 00:09:00,Long,Loss
37705.6,37762.1,0 days 00:03:00,Short,Profit
37678.6,37719.6,0 days 00:04:00,Short,Profit
37615.2,37648.1,0 days 00:03:00,Short,Profit
37689.6,37739.5,0 days 00:01:00,Long,Profit
37671.6,37790.9,0 days 00:02:00,Short,Profit
37664.6,37640.1,0 days 00:03:00,Short,Loss
37740.1,37788.4,0 days 00:06:00,Long,Profit
37738.4,37789.9,0 days 00:06:00,Short,Profit
37758.6,37793.3,0 days 00:03:00,Short,Profit
38421.2,38396.3,0 days 00:01:00,Short,Loss
38442.5,38477.9,0 days 00:12:00,Long,Profit
38533.7,38564.0,0 days 00:01:00,Short,Profit
39081.6,39116.6,0 days 00:03:00,Short,Profit
39097.9,39073.3,0 days 00:05:00,Short,Loss
39105.6,39082.8,0 days 00:04:00,Long,Loss
39109.8,39109.8,0 days 00:00:00,Long,End of Day
